"Date","Price","Open","High","Low","Vol.","Change %"
"12/23/2024","2.1851","2.2024","2.2329","2.1330","2.49B","-0.78%"
"12/22/2024","2.2024","2.2373","2.2929","2.1612","2.90B","-1.55%"
"12/21/2024","2.2370","2.2794","2.3852","2.2012","3.57B","-1.85%"
"12/20/2024","2.2791","2.2384","2.3536","1.9632","5.72B","1.78%"
"12/19/2024","2.2392","2.3065","2.4308","2.1636","5.04B","-2.91%"
"12/18/2024","2.3062","2.5663","2.5882","2.2663","454.39M","-10.13%"
"12/17/2024","2.5661","2.4855","2.7239","2.4423","1.94B","3.25%"
"12/16/2024","2.4854","2.4464","2.5773","2.3427","1.46B","1.59%"
"12/15/2024","2.4466","2.3997","2.4704","2.3691","691.64M","1.98%"
"12/14/2024","2.3991","2.4199","2.5295","2.3564","167.34M","-0.79%"
"12/13/2024","2.4181","2.3380","2.4722","2.2873","1.14B","3.45%"
"12/12/2024","2.3375","2.3945","2.4848","2.3145","1.35B","-2.36%"
"12/11/2024","2.3940","2.3713","2.4677","2.2355","1.86B","0.95%"
"12/10/2024","2.3715","2.2190","2.4149","1.9048","4.01B","6.87%"
"12/09/2024","2.2191","2.6028","2.6045","2.0628","2.50B","-14.77%"
"12/08/2024","2.6037","2.5376","2.6467","2.4869","1.11B","4.41%"
"12/07/2024","2.4936","2.4252","2.5673","2.3874","1.39B","2.83%"
"12/06/2024","2.4251","2.2443","2.4634","2.2335","1.60B","8.03%"
"12/05/2024","2.2449","2.3602","2.4962","2.1772","2.41B","-4.91%"
"12/04/2024","2.3608","2.5122","2.6745","2.2937","2.35B","-6.02%"
"12/03/2024","2.5121","2.7225","2.8928","2.3236","3.95B","-7.73%"
"12/02/2024","2.7225","2.2969","2.8586","2.2182","2.67B","18.52%"
"12/01/2024","2.2970","1.9482","2.3446","1.8514","2.13B","17.87%"
"11/30/2024","1.9488","1.7981","1.9550","1.7657","2.03B","8.42%"
"11/29/2024","1.7974","1.5423","1.8133","1.5250","1.75B","16.54%"
"11/28/2024","1.5424","1.4706","1.5457","1.4325","865.88M","4.81%"
"11/27/2024","1.4715","1.4001","1.5177","1.3547","9.98M","5.01%"
"11/26/2024","1.4013","1.4128","1.4580","1.2853","1.08B","-0.85%"
"11/25/2024","1.4133","1.4339","1.5367","1.3583","1.80B","-1.43%"
"11/24/2024","1.4338","1.4683","1.5113","1.2882","1.89B","-2.35%"
"11/23/2024","1.4683","1.4714","1.6292","1.4262","2.31B","-0.10%"
"11/22/2024","1.4698","1.2491","1.4980","1.2484","3.07B","17.66%"
"11/21/2024","1.2492","1.1043","1.2608","1.0797","1.99B","13.11%"
"11/20/2024","1.1044","1.1002","1.1498","1.0584","1.23B","0.40%"
"11/19/2024","1.1001","1.1143","1.1479","1.0710","1.17B","-1.31%"
"11/18/2024","1.1146","1.0540","1.1843","1.0540","1.90B","5.76%"
"11/17/2024","1.0539","1.1187","1.1575","1.0057","2.37B","-5.79%"
"11/16/2024","1.1187","0.8920","1.2608","0.8784","3.85B","25.42%"
"11/15/2024","0.8919","0.7727","0.9255","0.7713","2.83B","15.45%"
"11/14/2024","0.7726","0.6901","0.8477","0.6847","2.71B","11.93%"
"11/13/2024","0.6902","0.7044","0.7473","0.6421","2.45B","-1.90%"
"11/12/2024","0.7036","0.6207","0.7385","0.5984","3.40B","13.38%"
"11/11/2024","0.6206","0.5884","0.6340","0.5708","1.35B","5.49%"
"11/10/2024","0.5883","0.5593","0.6172","0.5557","1.50B","5.20%"
"11/09/2024","0.5592","0.5537","0.5616","0.5441","495.79M","0.99%"
"11/08/2024","0.5537","0.5553","0.5600","0.5416","553.24M","-0.30%"
"11/07/2024","0.5554","0.5419","0.5769","0.5378","736.69M","2.48%"
"11/06/2024","0.5419","0.5141","0.5467","0.5141","944.95M","5.41%"
"11/05/2024","0.5141","0.5036","0.5188","0.5019","433.03M","2.09%"
"11/04/2024","0.5035","0.5028","0.5145","0.4959","447.20M","0.17%"
"11/03/2024","0.5027","0.5102","0.5111","0.4920","331.11M","-1.47%"
"11/02/2024","0.5102","0.5129","0.5160","0.5065","164.96M","-0.56%"
"11/01/2024","0.5130","0.5095","0.5241","0.5028","568.72M","0.69%"
"10/31/2024","0.5095","0.5230","0.5237","0.5033","418.63M","-2.59%"
"10/30/2024","0.5230","0.5284","0.5285","0.5195","359.85M","-1.01%"
"10/29/2024","0.5284","0.5194","0.5305","0.5182","468.74M","1.72%"
"10/28/2024","0.5194","0.5167","0.5216","0.5116","340.72M","0.51%"
"10/27/2024","0.5167","0.5134","0.5179","0.5108","148.09M","0.66%"
"10/26/2024","0.5134","0.5022","0.5151","0.4992","268.56M","2.20%"
"10/25/2024","0.5023","0.5320","0.5322","0.4903","674.04M","-5.58%"
"10/24/2024","0.5320","0.5258","0.5338","0.5242","393.62M","1.18%"
"10/23/2024","0.5258","0.5339","0.5339","0.5126","436.67M","-1.50%"
"10/22/2024","0.5338","0.5449","0.5496","0.5295","503.58M","-2.04%"
"10/21/2024","0.5449","0.5481","0.5601","0.5412","564.03M","-0.57%"
"10/20/2024","0.5481","0.5423","0.5486","0.5373","246.69M","0.24%"
"10/19/2024","0.5468","0.5465","0.5499","0.5454","392.36M","0.06%"
"10/18/2024","0.5465","0.5440","0.5528","0.5398","437.64M","0.46%"
"10/17/2024","0.5440","0.5482","0.5659","0.5421","621.61M","-0.78%"
"10/16/2024","0.5482","0.5417","0.5534","0.5377","453.27M","1.21%"
"10/15/2024","0.5417","0.5484","0.5553","0.5335","555.17M","-1.23%"
"10/14/2024","0.5484","0.5320","0.5520","0.5281","448.16M","3.09%"
"10/13/2024","0.5320","0.5394","0.5394","0.5254","207.94M","-1.37%"
"10/12/2024","0.5394","0.5387","0.5431","0.5354","185.80M","0.14%"
"10/11/2024","0.5386","0.5304","0.5415","0.5296","385.98M","1.56%"
"10/10/2024","0.5304","0.5245","0.5442","0.5228","533.27M","1.14%"
"10/09/2024","0.5244","0.5311","0.5344","0.5214","340.89M","-1.27%"
"10/08/2024","0.5311","0.5291","0.5345","0.5216","341.11M","0.38%"
"10/07/2024","0.5291","0.5336","0.5458","0.5290","489.53M","-0.84%"
"10/06/2024","0.5336","0.5294","0.5372","0.5281","196.36M","0.79%"
"10/05/2024","0.5294","0.5340","0.5353","0.5262","235.37M","-0.85%"
"10/04/2024","0.5340","0.5218","0.5386","0.5151","584.94M","2.33%"
"10/03/2024","0.5218","0.5390","0.5442","0.5081","1.12B","-3.21%"
"10/02/2024","0.5391","0.5970","0.6064","0.5291","1.20B","-9.70%"
"10/01/2024","0.5970","0.6116","0.6340","0.5794","1.10B","-2.38%"
"09/30/2024","0.6116","0.6413","0.6538","0.6100","785.82M","-4.63%"
"09/29/2024","0.6413","0.6140","0.6638","0.6081","847.80M","4.44%"
"09/28/2024","0.6140","0.5886","0.6258","0.5859","856.28M","4.33%"
"09/27/2024","0.5886","0.5904","0.5970","0.5826","478.93M","-0.32%"
"09/26/2024","0.5904","0.5832","0.5960","0.5756","462.40M","1.23%"
"09/25/2024","0.5833","0.5911","0.5955","0.5827","372.16M","-1.33%"
"09/24/2024","0.5911","0.5847","0.5927","0.5815","378.99M","1.09%"
"09/23/2024","0.5848","0.5871","0.5957","0.5793","357.59M","-0.40%"
"09/22/2024","0.5871","0.5977","0.6049","0.5791","265.08M","-1.78%"
"09/21/2024","0.5977","0.5851","0.6116","0.5801","314.59M","2.15%"
"09/20/2024","0.5851","0.5869","0.5927","0.5766","464.05M","-0.29%"
"09/19/2024","0.5868","0.5854","0.5942","0.5813","469.48M","0.24%"
